rank,source_index,plant_id,gt_highest_cm,gt_canopy_cm,pred_height_cm,error_cm,abs_error_cm,selected_top_method,ground_z,top_z,n_green_points,n_component_points,n_surface_points,status,note
1,38,5.3.3,15.2,13.0,12.686959743499754,-2.513040256500245,2.513040256500245,topk_median,0.46,0.5868695974349976,1158,1130,81,ok,fixed_ground_z
2,22,3.3.2,10.6,9.3,8.820907115936278,-1.7790928840637221,1.7790928840637221,topk_median,0.46,0.5482090711593628,2433,1120,79,ok,fixed_ground_z
3,28,4.2.3,15.0,13.5,13.353744983673094,-1.646255016326906,1.646255016326906,topk_median,0.46,0.593537449836731,4003,1775,91,ok,fixed_ground_z
4,21,3.3.1,14.3,12.2,12.681535720825194,-1.6184642791748072,1.6184642791748072,topk_median,0.46,0.586815357208252,4030,2709,170,ok,fixed_ground_z
5,29,4.3.1,14.2,13.4,12.59984755516052,-1.6001524448394786,1.6001524448394786,topk_median,0.46,0.5859984755516052,4531,2855,153,ok,fixed_ground_z
6,23,3.3.3,10.0,9.0,11.473790645599363,1.4737906455993635,1.4737906455993635,topk_median,0.46,0.5747379064559937,1872,1471,109,ok,fixed_ground_z
7,31,5.1.1,10.3,9.5,11.61810541152954,1.3181054115295385,1.3181054115295385,topk_median,0.46,0.5761810541152954,1666,1334,109,ok,fixed_ground_z
8,30,4.3.2,14.5,12.6,13.238958358764647,-1.2610416412353533,1.2610416412353533,topk_median,0.46,0.5923895835876465,3779,3335,159,ok,fixed_ground_z
9,13,2.2.3,12.6,11.6,11.341611385345457,-1.2583886146545424,1.2583886146545424,topk_median,0.46,0.5734161138534546,2473,2100,131,ok,fixed_ground_z
10,27,4.2.2,13.1,11.7,11.889449596405028,-1.2105504035949721,1.2105504035949721,topk_median,0.46,0.5788944959640503,3584,2030,132,ok,fixed_ground_z
11,6,1.3.1,17.0,16.0,15.89976930618286,-1.1002306938171404,1.1002306938171404,topk_median,0.46,0.6189976930618286,2457,2231,129,ok,fixed_ground_z
12,7,1.3.2,11.4,10.3,10.311011314392088,-1.0889886856079123,1.0889886856079123,topk_median,0.46,0.5631101131439209,2060,1488,109,ok,fixed_ground_z
13,9,2.1.1,13.5,12.6,14.553187131881712,1.053187131881712,1.053187131881712,topk_median,0.46,0.6055318713188171,4251,3236,180,ok,fixed_ground_z
14,5,1.2.2,10.5,9.8,11.473909854888914,0.9739098548889142,0.9739098548889142,topk_median,0.46,0.5747390985488892,2520,1672,113,ok,fixed_ground_z
15,18,3.1.3,10.6,9.3,11.480108737945555,0.8801087379455552,0.8801087379455552,topk_median,0.46,0.5748010873794556,2724,1986,111,ok,fixed_ground_z
16,3,1.1.3,14.0,13.3,13.175390005111693,-0.8246099948883074,0.8246099948883074,topk_median,0.46,0.5917539000511169,3834,2875,161,ok,fixed_ground_z
